N	51.9018	-8.4582	D525	12 Feb 2024	D525\nCork to Cobh\nExpected Departure 15:30	To Cobh
N	53.3531	-6.24591	D921	12 Feb 2024	D921\nDublin Connolly to Maynooth\nExpected Departure 15:37	Northbound
R	53.334	-6.37868	D216	12 Feb 2024	D216\n15:25 - Dublin Heuston to Portlaoise (-1 mins late)\nArrived Park West and Cherry Orchard next stop Clondalkin	To Portlaoise
R	53.347	-6.25425	D412	12 Feb 2024	D412\n15:20 - Grand Canal Dock to Hazelhatch (5 mins late)\nDeparted Tara Street next stop Dublin Connolly	Southbound
R	53.3629	-6.22753	D814	12 Feb 2024	D814\n15:27 - Dublin Connolly to Drogheda (0 mins late)\nArrived Clontarf Road next stop Malahide	Northbound
R	53.3704	-6.50598	D919	12 Feb 2024	D919\n14:46 - Dublin Connolly to Maynooth (5 mins late)\nDeparted Leixlip (Louisa Bridge) next stop Maynooth	Northbound
R	53.3725	-6.29869	D920	12 Feb 2024	D920\n15:12 - Dublin Pearse to Maynooth (1 mins late)\nDeparted Broombridge next stop Pelletstown	Northbound
R	53.6118	-6.18226	D813	12 Feb 2024	D813\n14:50 - Dublin Connolly to Drogheda (2 mins late)\nDeparted Balbriggan next stop Gormanston	Northbound
T	53.0371	-7.30086	D214	12 Feb 2024	D214\n14:15 - Dublin Heuston to Portlaoise(3 mins late)\nTERMINATED Portlaoise at 15:29	To Portlaoise
T	53.4349	-6.46898	D316	12 Feb 2024	D316\n15:18 - Clonsilla to M3 Parkway(0 mins late)\nTERMINATED M3 Parkway at 15:29	Northbound
T	53.712	-6.33538	D812	12 Feb 2024	D812\n14:20 - Dublin Connolly to Drogheda(-2 mins late)\nTERMINATED Drogheda at 15:23	Northbound
